,Title,views,Thumbnail
0,How to lie using visual proofs,1.2M views,https://i.ytimg.com/vi/VYQVlVoWoPY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAkPa7cZWIHho61184yD07bBfiPmw
1,We want more online math exposition (SoME2),217K views,https://i.ytimg.com/vi/hZuYICAEN9Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDFpMvQ4ZLmAqHDTcPT7wBW4h7rOQ
2,"Olympiad level counting: How many subsets of {1,…,2000} have a sum divisible by 5?",1.1M views,https://i.ytimg.com/vi/bOXCLR3Wric/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBtb-UGQF1SV9roJlLQislZu6iuRg
3,"Oh, wait, actually the best Wordle opener is not “crane”…",4.8M views,https://i.ytimg.com/vi/fRed0Xmc2Wg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC-QaJmz7-oLXkLTtY_7tBgoV90Kw
4,Solving Wordle using information theory,9.2M views,https://i.ytimg.com/vi/v68zYyaEmEA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDkL71xcJwHdj6EOs8ajvN4IURiiA
5,"Alice, Bob, and the average shadow of a cube",1.8M views,https://i.ytimg.com/vi/ltLUadnCyi0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCDbP5tk3u-Xrl32veS9b2gltrxQA
6,2021 Summer of Math Exposition results,729K views,https://i.ytimg.com/vi/F3Qixy-r_rQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDRdUVE_EQge7rV_SNzteRIDRwo6A
7,"Beyond the Mandelbrot set, an intro to holomorphic dynamics",998K views,https://i.ytimg.com/vi/LqbZpur38nw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCxVJVYcvlaUs2X0BY2rGClViBQaQ
8,"Newton’s method produces this fractal, why don’t we teach it in calculus classes?",1.8M views,https://i.ytimg.com/vi/-RdOwhmqP5s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBLTspJl7XAqAX7254NpDfL8HU02Q
9,The Summer of Math Exposition,677K views,https://i.ytimg.com/vi/ojjzXyQCzso/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLACamd8WObjKKqckUIgp713Jbc-9w
10,"A quick trick for computing eigenvalues | Chapter 15, Essence of linear algebra",680K views,https://i.ytimg.com/vi/e50Bj7jn9IQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC9Luk6m1kHoGtlXDmspC0EliFqzQ
11,How (and why) to raise e to the power of a matrix | DE6,1.6M views,https://i.ytimg.com/vi/O85OWBJ2ayo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLChb6HBIKjEkY1S-rEowtTnoOOAVQ
12,"The medical test paradox, and redesigning Bayes' rule",886K views,
13,"Hamming codes part 2, the elegance of it all",658K views,
14,How to send a self-correcting message (Hamming codes),1.5M views,
15,"Group theory, abstraction, and the 196,883-dimensional monster",2.2M views,
16,The impossible chessboard puzzle,1M views,
17,Tips to be a better problem solver [Last live lecture] | Ep. 10 Lockdown live math,1.1M views,
18,Intuition for i to the power i | Ep. 9 Lockdown live math,440K views,
19,The DP-3T algorithm for contact tracing (via Nicky Case),338K views,
20,The power tower puzzle | Ep. 8 Lockdown live math,677K views,
21,"What makes the natural log ""natural""? | Ep. 7 Lockdown live math",1.1M views,
22,Logarithm Fundamentals | Ep. 6 Lockdown live math,662K views,
23,Imaginary interest rates | Ep. 5 Lockdown live math,663K views,
24,What is Euler's formula actually saying? | Ep. 4 Lockdown live math,857K views,https://i.ytimg.com/vi/ZxYOEwM6Wbk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCBQ7AipqoIDa3Ri_l-9Ibiuxf-9g
25,Complex number fundamentals | Ep. 3 Lockdown live math,1.3M views,https://i.ytimg.com/vi/5PcpBw5Hbwo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDV-ZVq1VWQuJJHTlpjtx1tn9z2CQ
26,Trigonometry fundamentals | Ep. 2 Lockdown live math,1.4M views,https://i.ytimg.com/vi/yBw67Fb31Cs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCuc9AY1de-ALzaopbKlMN3AtqPcw
27,The simpler quadratic formula | Ep. 1 Lockdown live math,1.1M views,https://i.ytimg.com/vi/MHXO86wKeDY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDTWLbsakePnZu_grUD_Z5VKrBcnA
28,Lockdown math announcement,784K views,https://i.ytimg.com/vi/ppWPuXsnf1Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGzGw0-wSZ1ckN3g1xyqKIxU-4iw
29,"Why “probability of 0” does not mean “impossible” | Probabilities of probabilities, part 2",2.1M views,https://i.ytimg.com/vi/ZA4JkHKZM50/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAMjATxdDdPQQBSOduUKeWn_Zm4ng
30,Simulating an epidemic,5M views,https://i.ytimg.com/vi/gxAaO2rsdIs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBnCe07tAV04geYs8lFcWFyRE43Eg
31,"Binomial distributions | Probabilities of probabilities, part 1",1.7M views,https://i.ytimg.com/vi/8idr1WZ1A7Q/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBI9SCyzlB64d29sNWVDvFgbThjOA
32,Exponential growth and epidemics,5.8M views,https://i.ytimg.com/vi/Kas0tIxDvrg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDgxyYIDLyYJ0f-iUIepGKxPqGFEQ
33,The quick proof of Bayes' theorem,422K views,https://i.ytimg.com/vi/U_85TaXbeIo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDRNd_IaV6QkB6yULAUCK3qRE161Q
34,"Bayes theorem, the geometry of changing beliefs",2.5M views,https://i.ytimg.com/vi/HZGCoVF3YvM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCTE71TMvEr9EGW2NjkGKuzm4YQ9w
